Source Name,RA (HMS),Dec (DMS)
J1757-16,17:57:25,-16:26
J1757-1854,17:57:03.78438,-18:54:03.376
J1757-2223,17:57:50.772,-22:23:49
J1757-2421,17:57:29.32308853,-24:22:07.44569594
J1757-2745,17:57:54.7826,-27:45:40.16
J1757-5322,17:57:15.1615,-53:22:26.387
J1758+3030,17:58:25.88,30:30:24.0
J1758-1931,17:58:05.60,-19:31:41
J1758-2206,17:58:44.45,-22:06:45
J1758-2540,17:58:31.94,-25:40:49
J1758-2630,17:58:34.27,-26:30:10
J1758-2846,17:58:15.41,-28:46:02
J1759+5036,17:59:45.672,+50:36:56.96
J1759-1029,17:59:34.30,-10:29:57
J1759-1736,17:59:28.16,-17:36:10
J1759-1903,17:59:41.76,-19:03:19
J1759-1940,17:59:57.040,-19:40:29
J1759-1956,17:59:35.42,-19:56:08
J1759-2205,17:59:24.164,-22:05:33
J1759-2302,17:59:49.23,-23:02:08
J1759-2307,17:59:30.945,-23:07:17
J1759-24,17:59:24,-24:02
J1759-2549,17:59:35.12,-25:49:07
J1759-2922,17:59:48.2457615,-29:22:07.22657177
J1759-3107,17:59:22.056,-31:07:21.8
J1759-5505,17:59:34.16,-55:05:30.9
J1800+5034,18:00:44.3698225,+50:34:21.76416158
J1800-0125,18:00:22.08,-01:25:30.6
J1800-2114,18:00:12.3,-21:14:19
J1800-2343,18:00,-23:43
J1801-0357,18:01:22.628,-03:57:55.7
J1801-0857A,18:01:50.6097,-08:57:31.853
J1801-0857B,18:01:50.5642,-08:57:32.87
J1801-0857C,18:01:50.73731,-08:57:32.699
J1801-0857D,18:01:55.3632,-08:57:24.284
J1801-0857E,18:01:50.6232,-08:57:31.29
J1801-0857F,18:01:50.7409,-08:57:31.27
J1801-0857G,18:01:50.099,-08:57:27.9
J1801-0857H,18:01:52.5895,-08:57:53.15
J1801-0857I,18:01:50.5,-08:57:32
J1801-1417,18:01:51.073331,-14:17:34.526
J1801-1855,18:01:22.3,-18:55:49
J1801-1909,18:01:46.69,-19:09:36
J1801-2115,18:01:32.49,-21:15:18
J1801-2154,18:01:08.68,-21:54:07.15
J1801-2304,18:01:19.81488,-23:04:44.637
J1801-2451,18:01:00.016,-24:51:27.5
J1801-2920,18:01:46.839,-29:20:38.1
J1801-3210,18:01:25.8872,-32:10:53.733
J1801-3458,18:01:52.66,-34:58:37
J1802+0128,18:02:27.45,+01:28:23.7
J1802+03,18:02:44,+03:38
J1802-0523,18:02:12.14,-05:23:29
J1802-1745,18:02:14.85,-17:45:17
J1802-2124,18:02:05.335576,-21:24:03.649
J1802-2426,18:02:03.10,-24:26:43
J1802-3346,18:02:55.2,-33:46:45
J1803+1358,18:03:11,+13:59:26
J1803-1616,18:03:34.68,-16:16:30
J1803-1857,18:03:59.06,-18:57:19
J1803-1920,18:03:29.44,-19:20:41
J1803-2137,18:03:51.4105,-21:37:07.351
J1803-2149,18:03:09.632,-21:49:13
J1803-2712,18:03:31.6922574,-27:12:06.38681699
J1803-3002A,18:03:34.0,-30:02:02
J1803-3002B,18:03:34.0,-30:02:02
J1803-3002C,18:03:34.0,-30:02:02
J1803-3002D,18:03:34.0,-30:02:02
J1803-3329,18:03:44.453,-33:29:10.7
J1804-0735,18:04:49.89457563,-07:35:24.69430893
J1804-2228,18:04:28.19,-22:28:18
J1804-2717,18:04:21.133087,-27:17:31.335
J1804-28,18:04:48,-28:07
J1804-2858,18:04:01.52323,-28:58:46.608
J1805+0306,18:05:10.15359143,+03:06:30.27348301
J1805+0615,18:05:42.39969,+06:15:18.606
J1805-0619,18:05:31.436,-06:19:45.4
J1805-1504,18:05:06.10,-15:04:36
J1805-2032,18:05:37.09,-20:32:51
J1805-2037,18:05:28.19,-20:37:16
J1805-2447,18:05:25.93,-24:47:30
J1805-2948,18:05:42.49,-29:48:00
J1806+1023,18:06:52.114,+10:23:18.30
J1806+2819,18:06:25.0658,+28:19:01.115
J1806-1154,18:06:06.79064866,-11:54:28.74623948
J1806-1618,18:06:25.78,-16:18:38
J1806-1920,18:06:06.6,-19:20:23
J1806-2125,18:06:19.80,-21:27:55.58
J1807+04,18:07:25,+04:05
J1807+0756,18:07:51.235,+07:56:43.39
J1807-0847,18:07:38.0274,-08:47:43.27
J1807-2459A,18:07:20.355604,-24:59:52.9015
J1807-2459B,18:07:20.871209,-25:00:1.915
J1807-2557,18:07:13.66,-25:57:20
J1807-2715,18:07:08.49472573,-27:15:02.96321762
J1808+00,18:08:19,+00:34
J1808-0813,18:08:09.43164254,-08:13:01.79704259
J1808-1020,18:08:45.634,-10:20:48.3
J1808-1517,18:08:39.09,-15:17:40
J1808-1726,18:08:42.3,-17:26:27
J1808-2024,18:08:39.337,-20:24:39.85
J1808-2057,18:08:06.39591196,-20:58:07.52475896
J1808-2701,18:08:13.23,-27:01:21
J1808-3249,18:08:04.48,-32:49:34
J1809+17,18:09:06,+17:04
J1809-0119,18:09:51.36,-01:19:29.0
J1809-0743,18:09:35.92,-07:43:01.4
J1809-1429,18:09:45.510,-14:29:25.0
J1809-1850,18:09:37.21,-18:50:55
J1809-1917,18:09:43.136,-19:17:38.1
J1809-1943,18:09:51.08696,-19:43:51.9315
J1809-2004,18:09:15.87,-20:04:12
J1809-2109,18:09:14.32900494,-21:09:02.87652756
J1809-2332,18:09:50.25,-23:32:22.68
J1809-3547,18:09:26.98,-35:47:18
J1810+0705,18:10:47.038,+07:05:36.3
J1810+1744,18:10:37.28,17:44:37.38
J1810-1441,18:10:59.162,-14:41:33.6
J1810-1709,18:10:28.21,-17:09:27
J1810-1820,18:10:55.52,-18:20:39
J1810-2005,18:10:58.9919,-20:05:08.27
J1810-5338,18:10:44.473,-53:38:07.631
J1811+0702,18:11:20.42,07:02:29.7
J1811-0154,18:11:19.88,-01:54:30.9
J1811-0624,18:11:18.0861,-06:24:37.42
J1811-1049,18:11:17.07,-10:49:03
J1811-1717,18:11:26.53,-17:17:47
J1811-1736,18:11:55.034,-17:36:37.7
J1811-1835,18:11:29.72,-18:35:44
J1811-1925,18:11:29.2,-19:25:28
J1811-2405,18:11:19.854050,-24:05:18.422
J1811-2439,18:11:55.53,-24:39:53
J1811-4930,18:11:27.19,-49:30:20.8
J1812+0226,18:12:53.18672647,+02:26:57.1249934
J1812-15,18:12:36,-15:31
J1812-1718,18:12:07.20797698,-17:18:29.47375761
J1812-1733,18:12:15.85925,-17:33:37.871
J1812-1910,18:12:34.89,-19:10:39
J1812-20,18:12:36.58,-20:58.1
J1812-2102,18:12:20.93,-21:02:36
J1812-2526,18:12:32.30,-25:26:38
J1812-2748,18:12:40.58,-27:48:03
J1812-3039,18:12:44.902,-30:39:21
J1813+1822,18:13:38.76,18:22:15.0
J1813+4013,18:13:13.27909703,+40:13:39.03418148
J1813-0402,18:13:34.93602,-04:02:47.8226
J1813-1246,18:13:23.77,-12:45:59.2
J1813-1749,18:13:35.180,-17:49:57.52
J1813-2113,18:13:39.87,-21:13:00.4
J1813-2242,18:13:29.16,-22:42:06
J1813-2621,18:13:40.59165,-26:21:57.055
J1814+1130,18:14:42.742,+11:30:43.95
J1814+22,18:14:36,+22:23
J1814+31,18:14:31,+31:30:01
J1814-0521,18:14:26.13,-05:21:37.0
J1814-0618,18:14:41.26,-06:18:01.7
J1814-1649,18:14:37.35,-16:49:28
J1814-1744,18:14:43.10,-17:44:48
J1815+5546,18:15:05.73818081,+55:46:23.31034732
J1815-1738,18:15:14.67,-17:38:06.83
J1815-1910,18:15:03.08,-19:10:00.4
J1816+4510,18:16:35.93436,+45:10:33.8618
J1816-0755,18:16:24.543,-07:55:22.5
J1816-1446,18:16:29.19,-14:46:30
J1816-1729,18:16:18.6614218,-17:29:02.70454314
J1816-2650,18:16:35.399,-26:49:53
J1816-5643,18:16:36.464,-56:43:42.10
J1817-0743,18:17:49.79,-07:43:18.9
J1817-1511,18:17:36.20,-15:11:39
J1817-1742,18:17:09.034,-17:42:01.1
J1817-1938,18:17:06.82,-19:38:36
J1817-2311,18:17,-23:11
J1817-3618,18:17:05.857,-36:18:04.6
J1817-3837,18:17:00.270,-38:37:59.7
J1818-0151,18:18:25.77,-01:51:54.0
J1818-1116,18:18:26.45,-11:16:29
J1818-1422,18:18:23.7660,-14:22:36.71
J1818-1448,18:18:27.91,-14:48:38
J1818-1519,18:18:14.6,-15:19:43
J1818-1541,18:18:37.52,-15:41:45
J1818-1556,18:18:51.95,-15:56:04
J1818-1607,18:18:00.19340,-16:07:53.0049
J1819+1305,18:19:56.226,+13:05:15.25
J1819-0925,18:19:50.542,-09:25:49.9
J1819-1008,18:19:39.986,-10:08:28
J1819-1114,18:19:28.78,-11:14:43
J1819-1131,18:19:58.15,-11:31:29
J1819-1318,18:19:43.66,-13:18:42
J1819-1408,18:19:56.8,-14:08:01.6
J1819-1458,18:19:34.16,-14:58:00.00
J1819-1510,18:19:53.691,-15:10:20.6
J1819-17,18:19:30,-17:05
J1819-1717,18:19:43.40,-17:17:16
J1819-37,18:19,-37:00:00
J1820-0427,18:20:52.5934,-04:27:37.712
J1820-0509,18:20:22.728,-05:09:38.5
J1820-1346,18:20:19.7588579,-13:46:15.27607069
J1820-1529,18:20:41.31,-15:29:42.26
J1820-1818,18:20:39.08708121,-18:18:03.25846394
J1821+0155,18:21:38.88368,+01:55:21.993
J1821+1715,18:21:13.503,+17:15:47.06
J1821+4147,18:21:52.34379174,+41:47:02.55446543
J1821-0256,18:21:10.310,-02:56:38.6
J1821-0331,18:21:44.70,-03:31:12.7
J1821-1419,18:21:34.3,-14:19:26
J1821-1432,18:21:39.777,-14:32:53.2
J1822+02,18:22,+02:00:00
J1822+0705,18:22:18.44074659,+07:05:19.02249946
J1822+1120,18:22:14.60,+11:20:56.2
J1822+2617,18:22:44.819,+26:17:26.83
J1822-0719,18:22:28.073,-07:19:55.0
J1822-0848,18:22:51.86,-08:48:59.0
J1822-0902,18:22:35.745,-09:02:59.1
J1822-0907,18:22:39.80,-09:07:36
J1822-1252,18:22:41.7,-12:52:49
J1822-1400,18:22:54.04194538,-14:00:02.40201615
J1822-1604,18:22:18.00,-16:04:26.8
J1822-1617,18:22:36.6,-16:17:35
J1822-2256,18:22:58.95361259,-22:56:30.60887112
J1822-4209,18:22:11.356,-42:09:10.98
J1823+0550,18:23:30.9731,05:50:24.31
J1823-0154,18:23:52.14511085,-01:54:04.57135746
J1823-1115,18:23:40.30594714,-11:15:11.28636046
J1823-1126,18:23:19.86,-11:26:04
J1823-1347,18:23:24.25,-13:47:54
J1823-1526,18:23:21.42,-15:26:22
J1823-1807,18:23:09.68,-18:07:33
J1823-3021A,18:23:40.48701,-30:21:40.127
J1823-3021B,18:23:41.5455,-30:21:40.94
J1823-3021C,18:23:41.1516,-30:21:38.45
J1823-3021D,18:23:40.5312,-30:21:43.66
J1823-3021E,18:23:38.93,-30:22:22.3
J1823-3021F,18:23:40.67,-30:21:39.9
J1823-3021G,18:23:40.7213,-30:21:35.63
J1823-3021H,18:23:40.48,-30:21:39.90
J1823-3106,18:23:46.78807131,-31:06:49.74975114
J1823-3543,18:23:35,-35:44:42
J1824+1014,18:24:14.932,+10:14:43.82
J1824-0127,18:24:53.43,-01:27:51.4
J1824-0132,18:24:55.575,-01:32:24.0
J1824-0621,18:24:15.81954,-06:21:56.7918
J1824-1118,18:24:29.53814612,-11:18:42.61363698
J1824-1159,18:24:56.151,-11:59:53.4
J1824-1350,18:24:50.181,-13:50:21.0
J1824-1423,18:24:57.387,-14:23:05.3
J1824-1500,18:24:14.10,-15:00:33
J1824-1945,18:24:00.56,-19:46:03.36
J1824-2233,18:24:10.32,-22:33:11
J1824-2328,18:24:28.64,-23:28:17
J1824-2452A,18:24:32.00744405,-24:52:10.87750214
J1824-2452B,18:24:32.81,-24:52:11.20
J1824-2452C,18:24:32.81,-24:52:11.20
J1824-2452D,18:24:32.81,-24:52:11.20
J1824-2452E,18:24:32.81,-24:52:11.20
J1824-2452F,18:24:32.81,-24:52:11.20
J1824-2452G,18:24:32.81,-24:52:11.20
J1824-2452H,18:24:32.81,-24:52:11.20
J1824-2452I,18:24:32.53,-24:52:08.6
J1824-2452J,18:24:32.81,-24:52:11.20
J1824-2452K,18:24:32.81,-24:52:11.20
J1824-2452L,18:24:32.81,-24:52:11.20
J1824-2452M,18:24:33.1835,-34:52:08.2
J1824-2452N,18:24:33.1418,-25:52:11.89
J1824-2537,18:24:30.587,-25:37:19
J1825+0004,18:25:15.32354292,+00:04:19.70250718
J1825-0319,18:25:55.9531,-03:19:57.570
J1825-0935,18:25:30.594,-09:35:21.2
J1825-1108,18:25:18.3,-11:08:54
J1825-1446,18:25:02.96,-14:46:53.77
J1825-31,18:25:58,-31:02:20
J1825-33,18:26:02,-33:21
J1826-1131,18:26:05.47195533,-11:31:43.62489366
J1826-1256,18:26:08.53,-12:56:33.0
J1826-1334,18:26:13.175,-13:34:46.8
J1826-1419,18:26:42.391,-14:19:21.6
J1826-1526,18:26:12.60,-15:26:03
J1826-2415,18:26:36.0260,-24:15:54.5
J1827-0750,18:27:02.735,-07:50:19.2
J1827-0849,18:27:36.4,-08:49:42
J1827-0934,18:27:45.884,-09:34:16.4
J1827-0958,18:27:05.47871695,-09:58:43.1063081
J1827-1446,18:27:24.60,-14:46:28
J1828+0625,18:28:28.9547,+06:25:09.782
J1828+1221,18:28:22.161,+12:21:20.9
J1828+1359,18:28:53.338,+13:59:35.36
J1828-0611,18:28:20.715,-06:11:51.5
J1828-1007,18:28:30.356,-10:07:10.1
J1828-1057,18:28:33.24,-10:57:26.9
J1828-1101,18:28:18.8,-11:01:50.83
J1828-1336,18:28:42.85,-13:36:45
J1828-2119,18:28:21.56,-21:19:56
J1829+0000,18:29:47.14,+00:00:08.5
J1829+2456,18:29:34.6668,+24:56:18.193
J1829+25,18:29,+25:00:00
J1829-0734,18:29:05.37,-07:34:22
J1829-1011,18:29:06.06,-10:11:25
J1829-1751,18:29:43.13661821,-17:51:03.89811179
J1830-0052,18:30:30.70,-00:52:54.0
J1830-0131,18:30:19.612,-01:31:48.1
J1830-10,18:30:06,-10:39
J1830-1059,18:30:47.51,-10:59:26.52
J1830-1135,18:30:01.72,-11:35:32
J1830-1313,18:30:41.98,-13:13:16.2
J1830-1414,18:30:00.35,-14:14:37
J1831-04,18:31:00,-04:29
J1831-0823,18:31:36.334,-08:23:23.9
J1831-0952,18:31:34.304,-09:52:01.7
J1831-1223,18:31:12.83,-12:23:31
J1831-1329,18:31:55.96,-13:29:56
J1831-1423,18:31:29.10,-14:23:46
J1832+0029,18:32:50.7,+00:29:27
J1832+27,18:32:10,+27:58
J1832-0644,18:32:42.67,-06:44:01.8
J1832-0827,18:32:37.013,-08:27:03.7
J1832-0836,18:32:27.59168265,-08:36:55.03203398
J1832-1021,18:32:40.8659061,-10:21:32.77346256
J1832-28,18:32:30,-28:43
J1833-0209,18:33:05.411,-02:09:16.4
J1833-0338,18:33:41.8945,-03:39:04.258
J1833-0556,18:33:38.88,-05:56:05
J1833-0559,18:33:07.60,-05:59:25
J1833-0827,18:33:40.268,-08:27:31.6
J1833-0831,18:33:44.37,-08:31:07.7
J1833-1034,18:33:33.57,-10:34:07.5
J1833-1055,18:33:58.40,-10:55:31
J1833-3840,18:33:04.6,-38:40:46
J1833-6023,18:33:14.8,-60:23:04
J1834+10,18:34:27,+10:44
J1834-0010,18:34:17.25503049,-00:10:53.27892772
J1834-0031,18:34:51.093,-00:31:34.3
J1834-0426,18:34:25.60176938,-04:26:15.83606568
J1834-0602,18:34:37.97,-06:02:35
J1834-0633,18:34:29.25,-06:33:01.1
J1834-0731,18:34:15.97,-07:31:05.93
J1834-0742,18:34:31.32,-07:42:20.6
J1834-0812,18:34:29.8,-08:12:00
J1834-0845,18:34:52.118,-08:45:56.02
J1834-09,18:34:36,-09:15
J1834-1202,18:34:23.12,-12:02:26.4
J1834-1710,18:34:53.401,-17:10:50
J1834-1855,18:34:45.94,-18:55:59
J1835-0114,18:35:21.9179,-01:14:33.61
J1835-0349,18:35:12.946,-03:49:09.9
J1835-0522,18:35:08.12,-05:22:08
J1835-0600,18:35:20.25,-06:00:00
J1835-0643,18:35:05.56095802,-06:43:06.35815152
J1835-0847,18:35:45.72,-08:47:20
J1835-0924,18:35:38.02,-09:24:27
J1835-09242,18:35:21.822,-09:24:15.9
J1835-0928,18:35:22.22,-09:28:02
J1835-0944,18:35:46.653,-09:44:27.2
J1835-0946,18:35:44.86,-09:46:38
J1835-1020,18:35:57.5784,-10:20:04.50
J1835-1106,18:35:18.41,-11:06:16.1
J1835-15,18:35:54,-15:35:25
J1835-1548,18:35:50.33,-15:48:38
J1835-3259A,18:35:44,-32:59:25
J1835-3259B,18:35:45.4704,-32:59:25.48
J1836+51,18:36,+51:00:00
J1836+5925,18:36:13.674,+59:25:30.15
J1836-0436,18:36:51.78952804,-04:36:37.67542027
J1836-0517,18:36:25.20,-05:17:35
J1836-1008,18:36:53.9251052,-10:08:08.34812616
J1836-11,18:36:06,-11:17
J1836-1324,18:36:52.287,-13:24:33.6
J1836-2354A,18:36:25.4452,-23:54:52.39
J1836-2354B,18:36:24.351,-23:54:28.7
J1837+0033g,18:37:41,+00:33
J1837+0053,18:37:28.45,+00:53:13
J1837+1221,18:37:07.12,+12:21:54.0
J1837-0045,18:37:32.15308649,-00:45:10.64145437
J1837-0559,18:37:23.652,-05:59:28.6
J1837-0604,18:37:43.55,-06:04:49
J1837-0653,18:37:14.64950394,-06:53:02.11368277
J1837-0822,18:37:39.654,-08:22:12.4
J1837-1243,18:37:09.41,-12:43:56
J1837-1837,18:37:54.25,-18:37:08
J1838+0022g,18:38:24,+00:22
J1838+0027g,18:38:13,+00:27
J1838+0044g,18:38:11,+00:44
J1838+1523,18:38:46.78,+15:23:25.4
J1838+1650,18:38:43.062,+16:50:16.05
J1838+50,18:38,+50:51
J1838-01,18:38:30,-01:01
J1838-0107,18:38:39.423,-01:07:48.64
J1838-0453,18:38:11.4,-04:53:25.32
J1838-0537,18:38:56.02,-05:37:09
J1838-0549,18:38:38.065,-05:49:12.1
J1838-0624,18:38:51.78,-06:24:54
J1838-0655,18:38:03.13,-06:55:33.4
J1838-1046,18:38:26.48,-10:46:57
J1838-1849,18:38:33.79,-18:49:59
J1839-0141,18:39:06.9848,-01:41:56.0
J1839-0223,18:39:58.032,-02:23:09.5
J1839-0321,18:39:37.520,-03:21:10.8
J1839-0332,18:39:56.583,-03:32:58.6
J1839-0402,18:39:51.06,-04:02:24.9
J1839-0436,18:39:00.064,-04:36:57.5
J1839-0459,18:39:42.619,-04:59:58.8
J1839-0627,18:39:20.46,-06:27:34
J1839-0643,18:39:09.803,-06:43:45.2
J1839-0905,18:39:53.46,-9:05:14.1
J1839-1238,18:39:43.708,-12:38:40.7
J1840+0012g,18:40:49,+00:12
J1840+0214,18:40:34.087,+02:14:54.7
J1840+5640,18:40:44.5372,+56:40:54.852
J1840-0445,18:40:45.5,-04:45:08
J1840-0559,18:40:23.18,-05:59:16.2
J1840-0626,18:40:16.31,-06:26:15.4
J1840-0643,18:40:08.9402,-06:43:36.06
J1840-0753,18:40:47.6,-07:53:32
J1840-0809,18:40:33.365,-08:09:03.62
J1840-0815,18:40:13.756,-08:15:08.88
J1840-0840,18:40:51.9,-08:40:29
J1840-1122,18:40:24.066,-11:22:10.7
J1840-1207,18:40:53.782,-12:07:32.6
J1840-1419,18:40:33.04,-14:19:06.5
J1841+0130,18:41:17.761,+01:30:16.9
J1841+0912,18:41:55.95863551,+09:12:07.3565383
J1841-0157,18:41:56.207,-01:57:54.6
J1841-0310,18:41:25.89,-03:10:21
J1841-0345,18:41:38.68,-03:48:42.6
J1841-04,18:41:10,-04:48
J1841-0425,18:41:05.663,-04:25:19.50
J1841-0456,18:41:19.343,-04:56:11.16
J1841-0500,18:41:18.14,-05:00:19.5
J1841-0524,18:41:49.32,-05:24:29.5
J1841-1404,18:41:34.3,-14:04:19
J1841-7845,18:41:25.9,-78:45:15
J1842+0257,18:42:30.93,+02:57:58.8
J1842+0358,18:42:17.022,+03:58:35.3
J1842+0638,18:42:10.002,+06:38:15.0
J1842+1332,18:42:29.96,+13:32:01.5
J1842-0153,18:42:57.870,-01:53:26.7
J1842-0309,18:42:19.02,-03:09:46
J1842-0359,18:42:26.49,-04:00:01.52
J1842-0415,18:42:11.289,-04:15:38.2
J1842-0612,18:42:43.05,-06:12:36
J1842-0800,18:42:54.943,-08:00:53.5
J1842-0905,18:42:22.15,-09:05:30.0
J1842-27,18:42:02,-27:58:19
J1842-39,18:42,-39:00:00
J1843+0119,18:43:23.90,+01:19:27.1
J1843+2024,18:43:26.18,+20:24:54.6
J1843-0000,18:43:27.965,-00:00:41.5
J1843-0050,18:43:36.72,-00:50:10
J1843-0137,18:43:12.63,-01:37:46.3
J1843-0211,18:43:30.328,-02:11:02.8
J1843-0355,18:43:06.663,-03:55:56.6
J1843-0408,18:43:43.44,-04:08:04
J1843-0459,18:43:27.643,-04:59:30.4
J1843-0510,18:43:09.732,-05:10:04.5
J1843-0702,18:43:22.439,-07:02:54.6
J1843-0744,18:43:05.487,-07:44:30.1
J1843-0806,18:43:28.715,-08:06:44.9
J1843-1113,18:43:41.261917,-11:13:31.0686
J1843-1448,18:43:01.3750,-14:48:12.61
J1843-1507,18:43:33.607,-15:07:03.0
J1843-40,18:43:03,-40:33:51
J1844+00,18:44:11,+00:35
J1844+0028g,18:44:36,+00:28.8
J1844+0115,18:44:40.5474,+01:15:34.974
J1844+1454,18:44:54.8946,14:54:14.12
J1844+21,18:44,+21:51
J1844+41,18:44:45,+41:17
J1844-0030,18:44:41.099,-00:30:25.8
J1844-0244,18:44:44.97427276,-02:44:40.92728014
J1844-0256,18:44:53,-02:56
J1844-03,18:44:57,-03:00:00
J1844-0302,18:44:06.918,-03:02:11.2
J1844-0310,18:44:45.48,-03:10:37.1
J1844-0346,18:44:32.89,-03:46:30.6
J1844-0433,18:44:33.45148294,-04:33:12.41109121
J1844-0452,18:44:01.54,-04:52:20.9
J1844-0502,18:44:33.96,-05:02:00.5
J1844-0538,18:44:05.12,-05:38:34.1
J1845+0623,18:45:08.59,+06:23:57.6
J1845+21,18:45,+21:51
J1845-0028g,18:45:40,-00:28
J1845-0316,18:45:52.9,-03:16:05
J1845-0434,18:45:34.70892377,-04:34:29.8163785
J1845-0545,18:45:38.49,-05:45:18.2
J1845-0635,18:45:07.406,-06:35:23.4
J1845-0743,18:45:57.1833,-07:43:38.57
J1845-0826,18:45:05.693,-08:26:39.7
J1845-1114,18:45:45.778,-11:14:11.0
J1845-1351,18:45:11.50,-13:51:54.5
J1846+0051,18:46:43.821,+00:51:39.0
J1846+0919,18:46:26.0,+09:19:46
J1846-0257,18:46:15.49,-02:57:36.0
J1846-0258,18:46:24.94,-02:58:30.1
J1846-0749,18:46:19.744,-07:49:21.4
J1846-07492,18:46:07.999,-07:49:13.2
J1846-4249,18:46,-42:49
J1846-7403,18:46:13.78,-74:03:04
J1847+01,18:47:05,+01:13
J1847+0110g,18:47:23,+01:10
J1847+0133g,18:47:01,+01:33
J1847+0614g,18:47:34,+06:14
J1847-0130,18:47:35.21,-01:30:46
J1847-0402,18:47:22.842,-04:02:14.4
J1847-0427,18:47:18.86,-04:27:59
J1847-0438,18:47:37.925,-04:38:15.3
J1847-0443,18:47:51.85,-04:43:36.2
J1847-0605,18:47:21.071,-06:05:14.1
J1848+0127g,18:48:19,+01:27
J1848+0150g,18:48:43,+01:50.4
J1848+0351,18:48:42.24,+03:51:35.7
J1848+0604,18:48:54.622,+06:04:46.8
J1848+0647,18:48:56.01,06:47:31.7
J1848+0826,18:48:43.77,+08:26:35.9
J1848+12,18:48:30,+12:50
J1848+1516,18:48:56.13,+15:16:44.1
J1848-0023,18:48:37.89,-00:23:17
J1848-0055,18:48:45.50,-00:55:53
J1848-0123,18:48:23.5895,-01:23:58.33
J1848-0511,18:48:15.01,-05:11:38
J1848-0601,18:48:20.349,-06:01:07.7
J1848-1150,18:48:11.81,-11:50:09.2
J1848-1243,18:48:18.026,-12:43:30
J1848-1414,18:48:39.15485372,-14:14:17.38488519
J1848-1952,18:48:18.03407097,-19:52:30.88146078
J1849+0001g,18:49:23,+00:01
J1849+0009g,18:49:42,+00:09
J1849+0016g,18:49:58,+00:16
J1849+0037g,18:49:28,+00:37
J1849+0106,18:49:55.404,+01:06:22.6
J1849+0127,18:49:44.18,+01:27:23
J1849+0225g,18:49:13,+02:25
J1849+0339g,18:49:55,+03:39
J1849+0409,18:49:03.471,+04:09:42.3
J1849+0430,18:49:40.44,+04:30:36.8
J1849+2423,18:49:34.6763,+24:23:45.976
J1849+2559,18:49:47.555,+25:59:57.66
J1849-0001,18:49:01.632,-00:01:17.45
J1849-0014g,18:49:31,-00:14
J1849-0019g,18:49:15,-00:19
J1849-0040,18:49:10.25,-00:40:20
J1849-0317,18:49:57.85,-03:17:31
J1849-0614,18:49:45.157,-06:14:31.5
J1849-0636,18:49:06.43482131,-06:37:06.90481906
J1850+0011g,18:50:04,+00:11
J1850+0026,18:50:45.144,+00:26:25.6
J1850+0124,18:50:01.0139,+01:24:34.61
J1850+0242,18:50:41.683,+02:42:57.44
J1850+0423,18:50:23.43,+04:23:09.2
J1850+1335,18:50:35.47234678,+13:35:58.39668029
J1850+15,18:50:09,+15:32
J1850-0002g,18:50:00,-00:02
J1850-0006,18:50:47.93,-00:06:26.1
J1850-0020g,18:50:06,-00:20
J1850-0026,18:50:14.714,-00:26:11.6
J1850-0031,18:50:33.39,-00:31:09
J1851+00,18:51:02,+00:10
J1851+0056g,18:51:27,+00:56
J1851+0118,18:51:52.18,+01:18:59
J1851+0233,18:51:09.130,+02:33:46.4
J1851+0241,18:51:20.34,+02:41:20.0
J1851+0418,18:51:03.29776174,+04:18:12.0149368
J1851+1259,18:51:13.21428286,+12:59:35.28826058
J1851-0029,18:51:55.093,-00:29:58.1
J1851-0053,18:51:03.17,-00:53:07.3
J1851-0114,18:51:16.41,-01:14:13.4
J1851-0241,18:51:15.26,-02:41:31
J1851-0633,18:51:41.646,-06:33:48.4
J1852+0008,18:52:42.78,+00:08:09.6
J1852+0013,18:52:41.779,+00:13:57.1
J1852+0018g,18:52:30,+00:18
J1852+0031,18:52:27.42031568,+00:32:01.98886207
J1852+0033,18:52:46.6,+00:33:20.9
J1852+0040,18:52:38.57,+00:40:19.8
J1852+0056g,18:52:14,+00:56
J1852+0158g,18:52:44,+01:58
J1852+0305,18:52:32.6,+03:05:05
J1852+0309g,18:52:11,+03:09
J1852+0857g,18:52:37,+08:57
J1852-0000,18:52:40.167,-00:00:25.5
J1852-0002g,18:52:10,-00:02
J1852-0024g,18:52:14,-00:24
J1852-0033g,18:52:26,-00:33
J1852-0039g,18:52:11,-00:39
J1852-0044g,18:52:27,-00:44
J1852-0055g,18:52:23,-00:55
J1852-0118,18:52:17.15,-01:18:14.8
J1852-0127,18:52:03.60,-01:27:23.4
J1852-0635,18:52:57.448,-06:36:00.45
J1852-13,18:52:11,-13:06:48
J1852-2610,18:52:59.46742446,-26:10:12.69975227
J1853+0009,18:53:39,+00:08
J1853+0011,18:53:29.980,00:11:30.6
J1853+0013g,18:53:53,+00:13
J1853+0023g,18:53:10,+00:23
J1853+0029,18:53:17.745,+00:29:23.8
J1853+0056,18:53:32.66,+00:56:59
J1853+0237g,18:53:57,+02:37
J1853+0259,18:53:14.979,+02:59:47.9
J1853+0312g,18:53:15,+03:12
J1853+0427,18:53:47.007,+04:27:41.2
J1853+0505,18:53:04.36,+05:05:26.1
J1853+0545,18:53:58.411,+05:45:55.26
J1853+0853,18:53:22.07,+08:53:17
J1853+1303,18:53:57.31699567,+13:03:44.05174484
J1853-0003g,18:53:24,-00:03
J1853-0004,18:53:23.027,-00:04:33.4
